Row, Col, Ala, Ala %SD, Ala/Cr+PCr, Asp, Asp %SD, Asp/Cr+PCr, Cr, Cr %SD, Cr/Cr+PCr, PCr, PCr %SD, PCr/Cr+PCr, GABA, GABA %SD, GABA/Cr+PCr, Glc, Glc %SD, Glc/Cr+PCr, Gln, Gln %SD, Gln/Cr+PCr, Glu, Glu %SD, Glu/Cr+PCr, GPC, GPC %SD, GPC/Cr+PCr, PCh, PCh %SD, PCh/Cr+PCr, GSH, GSH %SD, GSH/Cr+PCr, Ins, Ins %SD, Ins/Cr+PCr, Lac, Lac %SD, Lac/Cr+PCr, NAA, NAA %SD, NAA/Cr+PCr, NAAG, NAAG %SD, NAAG/Cr+PCr, Scyllo, Scyllo %SD, Scyllo/Cr+PCr, Tau, Tau %SD, Tau/Cr+PCr, -CrCH2, -CrCH2 %SD, -CrCH2/Cr+PCr, GPC+PCh, GPC+PCh %SD, GPC+PCh/Cr+PCr, NAA+NAAG, NAA+NAAG %SD, NAA+NAAG/Cr+PCr, Cr+PCr, Cr+PCr %SD, Cr+PCr/Cr+PCr, Glu+Gln, Glu+Gln %SD, Glu+Gln/Cr+PCr, Lip13a, Lip13a %SD, Lip13a/Cr+PCr, Lip13b, Lip13b %SD, Lip13b/Cr+PCr, Lip09, Lip09 %SD, Lip09/Cr+PCr, MM09, MM09 %SD, MM09/Cr+PCr, Lip20, Lip20 %SD, Lip20/Cr+PCr, MM20, MM20 %SD, MM20/Cr+PCr, MM12, MM12 %SD, MM12/Cr+PCr, MM14, MM14 %SD, MM14/Cr+PCr, MM17, MM17 %SD, MM17/Cr+PCr, Lip13a+Lip13b, Lip13a+Lip13b %SD, Lip13a+Lip13b/Cr+PCr, MM14+Lip13a+L, MM14+Lip13a+L %SD, MM14+Lip13a+L/Cr+PCr, MM09+Lip09, MM09+Lip09 %SD, MM09+Lip09/Cr+PCr, MM20+Lip20, MM20+Lip20 %SD, MM20+Lip20/Cr+PCr
 13,   7,   48.562,  151,  7.1E-02,    0.000,  999,    0.000,   60.193,  290,  8.8E-02,  625.375,   29,    0.912,   23.111,  335,  3.4E-02,   73.015,  104,    0.107,  187.256,   82,    0.273,  876.731,   21,    1.279,  158.273,    8,    0.231,    0.000,  999,    0.000,  238.773,   21,    0.348,  837.849,   21,    1.222,  103.247,   79,    0.151, 1.41E+03,    3,    2.062,    0.000,  999,    0.000,   49.870,   32,  7.3E-02,  233.828,   48,    0.341,  356.176,   21,    0.520,  158.273,    8,    0.231, 1.41E+03,    3,    2.062,  685.568,    5,    1.000, 1.06E+03,   24,    1.552,  301.187,   48,    0.439,    0.000,  999,    0.000,    0.000,  999,    0.000,  334.867,   30,    0.488,   60.473,   80,  8.8E-02,  595.870,   28,    0.869,   98.193,   42,    0.143,  453.990,   27,    0.662,  217.755,   38,    0.318,  301.187,   48,    0.439,  853.369,   23,    1.245,  334.867,   30,    0.488,  656.343,   26,    0.957
 13,   8,   88.012,   84,    0.150,   37.153,  287,  6.3E-02,  233.486,   69,    0.398,  353.263,   47,    0.602,   25.916,  268,  4.4E-02,    0.000,  999,    0.000,  393.915,   42,    0.671,  894.424,   22,    1.524,    0.000,  999,    0.000,  122.812,   11,    0.209,   41.125,  115,  7.0E-02,  442.584,   36,    0.754,    2.178,  999,  3.7E-03, 1.26E+03,    8,    2.140,   60.795,  185,    0.104,   25.730,   59,  4.4E-02,  144.300,   69,    0.246,  327.623,   20,    0.558,  122.812,   11,    0.209, 1.32E+03,    3,    2.244,  586.748,    6,    1.000, 1.29E+03,   22,    2.196,   92.233,  108,    0.157,    0.000,  999,    0.000,    0.000,  999,    0.000,  312.704,   27,    0.533,   22.522,  129,  3.8E-02,  579.536,   24,    0.988,   93.639,   36,    0.160,  371.698,   26,    0.633,  199.568,   33,    0.340,   92.233,  108,    0.157,  557.570,   25,    0.950,  312.704,   27,    0.533,  602.058,   24,    1.026
 13,   9,  184.080,   31,    0.567,   40.849,  179,    0.126,    0.000,  999,    0.000,  324.390,    8,    1.000,   25.913,  178,  8.0E-02,   42.565,  107,    0.131,  138.928,   83,    0.428,  545.645,   24,    1.682,    0.000,  999,    0.000,   92.904,   11,    0.286,   75.026,   49,    0.231,  330.054,   37,    1.017,    0.000,  999,    0.000,  812.238,    6,    2.504,   76.301,   70,    0.235,   34.127,   32,    0.105,  153.273,   46,    0.472,  201.694,   23,    0.622,   92.904,   11,    0.286,  888.539,    4,    2.739,  324.390,    8,    1.000,  684.573,   27,    2.110,  500.314,   31,    1.542,    0.000,  999,    0.000,    4.369,  999,  1.3E-02,  349.884,   28,    1.079,  119.413,   57,    0.368,  713.905,   23,    2.201,  106.106,   55,    0.327,  303.125,   41,    0.934,  330.975,   25,    1.020,  500.314,   31,    1.542,  909.545,   15,    2.804,  354.253,   20,    1.092,  833.318,   20,    2.569
 13,  10,   39.485,   87,    0.227,    0.000,  999,    0.000,    0.000,  999,    0.000,  174.006,   11,    1.000,   25.526,   91,    0.147,   23.086,  102,    0.133,   55.395,  122,    0.318,  202.502,   37,    1.164,    0.000,  999,    0.000,   51.820,   13,    0.298,   29.944,   82,    0.172,   78.664,   97,    0.452,    6.618,  561,  3.8E-02,  401.596,    7,    2.308,   41.577,   69,    0.239,    8.321,   77,  4.8E-02,   41.285,   89,    0.237,  110.945,   26,    0.638,   51.820,   13,    0.298,  443.174,    7,    2.547,  174.006,   11,    1.000,  257.897,   38,    1.482,  474.958,   31,    2.730,    0.000,  999,    0.000,  115.059,   48,    0.661,  331.988,   22,    1.908,   79.980,   44,    0.460,  540.307,   22,    3.105,  103.746,   49,    0.596,  504.409,   17,    2.899,  193.463,   32,    1.112,  474.958,   31,    2.730, 1.08E+03,    9,    6.225,  447.047,   13,    2.569,  620.287,   18,    3.565
 13,  11,   80.524,   34,    1.160,   10.288,  127,    0.148,   69.434,   20,    1.000,    0.000,  999,    0.000,   10.247,   76,    0.148,    9.898,   80,    0.143,   65.945,   79,    0.950,   43.680,  131,    0.629,    0.000,  999,    0.000,   16.997,   30,    0.245,   25.076,   76,    0.361,    0.000,  999,    0.000,   34.394,   83,    0.495,  193.720,    9,    2.790,    0.000,  999,    0.000,    3.593,   70,  5.2E-02,   13.954,   93,    0.201,   11.829,  105,    0.170,   16.997,   30,    0.245,  193.720,    9,    2.790,   69.434,   20,    1.000,  109.625,   67,    1.579,  211.552,   44,    3.047,    0.000,  999,    0.000,   75.307,   50,    1.085,  188.934,   26,    2.721,   27.046,   97,    0.390,   74.371,  109,    1.071,   65.186,   52,    0.939,    0.000,  999,    0.000,   48.492,  106,    0.698,  211.552,   44,    3.047,  276.738,   31,    3.986,  264.242,   17,    3.806,  101.417,   80,    1.461
 13,  12,    0.000,  999,    0.000,    6.028,   77,    0.223,   27.022,   40,    1.000,    0.000,  999,    0.000,    3.414,   82,    0.126,    3.577,   79,    0.132,    7.167,  498,    0.265,   18.410,  213,    0.681,    0.000,  999,    0.000,    6.648,   61,    0.246,    0.432,  999,  1.6E-02,    0.000,  999,    0.000,   62.627,   36,    2.318,   70.018,   20,    2.591,    0.000,  999,    0.000,    1.183,   78,  4.4E-02,    6.376,   73,    0.236,    3.329,  165,    0.123,    6.648,   61,    0.246,   70.018,   20,    2.591,   27.022,   40,    1.000,   25.577,  188,    0.947,  358.324,   20,   13.261,    0.000,  999,    0.000,   47.367,   67,    1.753,    0.000,  999,    0.000,   21.910,  121,    0.811,    0.000,  999,    0.000, 1.81E-04,  999,  6.7E-06, 3.25E-03,  999,  1.2E-04,    0.000,  999,    0.000,  358.324,   20,   13.261,  358.328,   20,   13.261,   47.367,   67,    1.753,   21.910,  121,    0.811
 13,  13, 5.07E+03,    8,    0.000,    0.000,  999,    0.000,    0.000,  999,    0.000,    0.000,  999,    0.000,    0.000,  999,    0.000,    0.000,  999,    0.000,    0.000,  999,    0.000,    0.000,  999,    0.000,    0.000,  999,    0.000,    0.000,  999,    0.000,    0.000,  999,    0.000,    0.000,  999,    0.000, 3.53E+03,   10,    0.000,    0.000,  999,    0.000,    0.000,  999,    0.000,    0.000,  999,    0.000,    0.000,  999,    0.000, 5.88E-02,  999,    0.000,    0.000,  999,    0.000,    0.000,  999,    0.000,    0.000,  999,    0.000,    0.000,  999,    0.000,    0.000,  999,    0.000,    0.000,  999,    0.000,    0.000,  999,    0.000, 1.01E+03,    6,    0.000,    0.000,  999,    0.000, 1.52E+03,    6,    0.000,  304.238,    6,    0.000,  761.508,    6,    0.000,  380.729,    6,    0.000,    0.000,  999,    0.000, 1.07E+03,    6,    0.000, 1.01E+03,    6,    0.000, 1.52E+03,    6,    0.000
  2,   2,    0.000,  999,    0.000,   14.346,   47,    0.162,   88.464,   31,    1.000,    0.000,  999,    0.000,    9.056,   45,    0.102,    8.837,   46,    0.100,    0.000,  999,    0.000,   50.626,  208,    0.572,    0.000,  999,    0.000,   32.694,   32,    0.370,    0.000,  999,    0.000,    0.000,  999,    0.000,   99.362,   57,    1.123,    0.000,  999,    0.000,  109.475,   29,    1.238,    3.095,   44,  3.5E-02,   15.011,   45,    0.170,   13.660,   75,    0.154,   32.694,   32,    0.370,  109.475,   29,    1.238,   88.464,   31,    1.000,   50.626,  208,    0.572, 1.12E+03,   43,   12.709,    0.000,  999,    0.000,  186.115,  101,    2.104,   74.382,  196,    0.841,  114.925,  111,    1.299,    0.000,  999,    0.000,   65.860,  160,    0.744, 1.09E+03,   19,   12.331,  585.789,   28,    6.622, 1.12E+03,   43,   12.709, 2.28E+03,   18,   25.784,  260.497,   55,    2.945,  114.925,  111,    1.299
  2,   3, 3.50E+03,   17,    0.000, 6.61E-02,  999,    0.000,    0.000,  999,    0.000,    0.000,  999,    0.000, 3.96E-02,  999,    0.000, 3.89E-02,  999,    0.000,    0.000,  999,    0.000,    0.000,  999,    0.000,    0.000,  999,    0.000,    0.465,  999,    0.000,    0.000,  999,    0.000,    0.000,  999,    0.000,    0.000,  999,    0.000,    0.000,  999,    0.000,    0.000,  999,    0.000, 1.25E-02,  999,    0.000, 6.34E-02,  999,    0.000,    0.669,  733,    0.000,    0.465,  999,    0.000,    0.000,  999,    0.000,    0.000,  999,    0.000,    0.000,  999,    0.000, 1.98E+03,   23,    0.000,    0.000,  999,    0.000,  561.950,   23,    0.000, 1.05E+03,   17,    0.000,  305.780,   28,    0.000,    0.000,  999,    0.000,  321.265,   52,    0.000, 4.84E+03,    3,    0.000, 1.03E+03,   25,    0.000, 1.98E+03,   23,    0.000, 7.14E+03,    6,    0.000, 1.62E+03,   10,    0.000,  305.780,   28,    0.000
  2,   4,    0.000,  999,    0.000,    4.787,  134,    0.201,    5.106,  511,    0.214,   18.745,  161,    0.786,    2.771,  139,    0.116,    3.059,  126,    0.128,    0.000,  999,    0.000,   22.306,  193,    0.935,   11.440,   86,    0.480,    0.000,  999,    0.000,    0.000,  999,    0.000,   87.992,   95,    3.689,    0.000,  999,    0.000,   42.588,   79,    1.786,    0.000,  999,    0.000,    0.952,  135,  4.0E-02,    4.491,  143,    0.188,    1.701,  347,  7.1E-02,   11.440,   86,    0.480,   42.588,   79,    1.786,   23.851,   93,    1.000,   22.306,  193,    0.935, 7.76E+03,    8,  325.203,  744.933,   63,   31.232, 2.21E+03,    7,   92.521,    0.000,  999,    0.000, 1.19E+03,    8,   49.852,    0.000,  999,    0.000,    0.210,  999,  8.8E-03,    1.810,  999,  7.6E-02,    3.064,  551,    0.128, 8.50E+03,    5,  356.435, 8.50E+03,    5,  356.520, 2.21E+03,    7,   92.521, 1.19E+03,    8,   49.852
