Row, Col, Ala, Ala %SD, Ala/Cr+PCr, Asp, Asp %SD, Asp/Cr+PCr, Cr, Cr %SD, Cr/Cr+PCr, PCr, PCr %SD, PCr/Cr+PCr, GABA, GABA %SD, GABA/Cr+PCr, Glc, Glc %SD, Glc/Cr+PCr, Gln, Gln %SD, Gln/Cr+PCr, Glu, Glu %SD, Glu/Cr+PCr, GPC, GPC %SD, GPC/Cr+PCr, PCh, PCh %SD, PCh/Cr+PCr, GSH, GSH %SD, GSH/Cr+PCr, Ins, Ins %SD, Ins/Cr+PCr, Lac, Lac %SD, Lac/Cr+PCr, NAA, NAA %SD, NAA/Cr+PCr, NAAG, NAAG %SD, NAAG/Cr+PCr, Scyllo, Scyllo %SD, Scyllo/Cr+PCr, Tau, Tau %SD, Tau/Cr+PCr, -CrCH2, -CrCH2 %SD, -CrCH2/Cr+PCr, GPC+PCh, GPC+PCh %SD, GPC+PCh/Cr+PCr, NAA+NAAG, NAA+NAAG %SD, NAA+NAAG/Cr+PCr, Cr+PCr, Cr+PCr %SD, Cr+PCr/Cr+PCr, Glu+Gln, Glu+Gln %SD, Glu+Gln/Cr+PCr, Lip13a, Lip13a %SD, Lip13a/Cr+PCr, Lip13b, Lip13b %SD, Lip13b/Cr+PCr, Lip09, Lip09 %SD, Lip09/Cr+PCr, MM09, MM09 %SD, MM09/Cr+PCr, Lip20, Lip20 %SD, Lip20/Cr+PCr, MM20, MM20 %SD, MM20/Cr+PCr, MM12, MM12 %SD, MM12/Cr+PCr, MM14, MM14 %SD, MM14/Cr+PCr, MM17, MM17 %SD, MM17/Cr+PCr, Lip13a+Lip13b, Lip13a+Lip13b %SD, Lip13a+Lip13b/Cr+PCr, MM14+Lip13a+L, MM14+Lip13a+L %SD, MM14+Lip13a+L/Cr+PCr, MM09+Lip09, MM09+Lip09 %SD, MM09+Lip09/Cr+PCr, MM20+Lip20, MM20+Lip20 %SD, MM20+Lip20/Cr+PCr
  8,   8,    0.000,  999,    0.000,  161.078,  136,  9.8E-02,  481.846,   41,    0.294, 1.16E+03,   17,    0.706,    0.000,  999,    0.000,   23.056,  621,  1.4E-02,  821.702,   25,    0.502, 1.35E+03,   17,    0.823,  591.622,    4,    0.361,    0.000,  999,    0.000,  411.129,   17,    0.251,  290.315,   85,    0.177,  135.991,   82,  8.3E-02, 1.72E+03,    5,    1.053,   89.765,   99,  5.5E-02,   17.760,  149,  1.1E-02,    0.000,  999,    0.000,    0.000,  999,    0.000,  591.622,    4,    0.361, 1.81E+03,    4,    1.108, 1.64E+03,    3,    1.000, 2.17E+03,   14,    1.325, 3.86E+03,   15,    2.358,    0.000,  999,    0.000,  730.115,   53,    0.446,  821.361,   41,    0.502,  946.464,   33,    0.578, 1.75E+03,   25,    1.067,  225.302,   91,    0.138,   89.253,  399,  5.4E-02, 1.39E+03,   16,    0.847, 3.86E+03,   15,    2.358, 4.18E+03,   13,    2.550, 1.55E+03,   15,    0.947, 2.69E+03,   15,    1.645
  7,   7,    0.000,  999,    0.000,   81.739,  296,  4.7E-02,  171.612,  167,  9.8E-02, 1.58E+03,   19,    0.902,    0.000,  999,    0.000,    6.393,  999,  3.7E-03,  603.838,   46,    0.346, 1.31E+03,   23,    0.751,  686.749,    4,    0.393,    0.000,  999,    0.000,  465.134,   19,    0.266,  588.638,   51,    0.337,  230.954,  122,    0.132, 1.92E+03,    6,    1.098,  177.965,   80,    0.102,   33.863,   89,  1.9E-02,    0.000,  999,    0.000,    0.000,  999,    0.000,  686.749,    4,    0.393, 2.10E+03,    4,    1.199, 1.75E+03,    4,    1.000, 1.92E+03,   24,    1.097,    0.000,  999,    0.000,  929.348,   35,    0.532,    0.000,  999,    0.000, 1.14E+03,   19,    0.653,  163.987,   84,  9.4E-02, 2.71E+03,   16,    1.549,  314.372,   51,    0.180, 2.60E+03,   17,    1.486, 2.13E+03,   15,    1.221,  929.348,   35,    0.532, 3.84E+03,   14,    2.198, 1.14E+03,   19,    0.653, 2.87E+03,   15,    1.643
  7,   8,   67.633,  156,  4.4E-02,  150.797,  137,  9.8E-02,  327.889,   64,    0.212, 1.22E+03,   18,    0.788,    0.000,  999,    0.000,    5.214,  999,  3.4E-03,  621.295,   34,    0.402, 1.01E+03,   23,    0.651,  580.737,    4,    0.376,    0.000,  999,    0.000,  293.004,   24,    0.190,  178.328,  141,    0.115,  240.387,   62,    0.156, 1.53E+03,    6,    0.989,  132.486,   70,  8.6E-02,   42.381,   62,  2.7E-02,    0.000,  999,    0.000,    0.000,  999,    0.000,  580.737,    4,    0.376, 1.66E+03,    5,    1.075, 1.54E+03,    4,    1.000, 1.63E+03,   20,    1.054, 2.92E+03,   32,    1.889,  739.393,   32,    0.479,  280.111,  140,    0.181,  868.295,   40,    0.562,  705.670,   40,    0.457, 1.63E+03,   28,    1.058,  287.795,   62,    0.186, 1.74E+03,   26,    1.126,  884.077,   32,    0.573, 3.66E+03,   23,    2.368, 5.68E+03,   13,    3.680, 1.15E+03,   22,    0.744, 2.34E+03,   18,    1.515
  7,   9,   71.392,  182,  3.3E-02,  154.220,  174,  7.2E-02,  411.976,   67,    0.191, 1.74E+03,   16,    0.809,    0.000,  999,    0.000,    0.000,  999,    0.000, 1.33E+03,   21,    0.618, 1.68E+03,   18,    0.782,  811.521,    3,    0.377,    0.000,  999,    0.000,  399.734,   21,    0.186,  618.774,   47,    0.287,    0.000,  999,    0.000, 2.59E+03,    3,    1.202,    0.000,  999,    0.000,   65.497,   48,  3.0E-02,    0.000,  999,    0.000,    0.000,  999,    0.000,  811.521,    3,    0.377, 2.59E+03,    3,    1.202, 2.15E+03,    3,    1.000, 3.01E+03,   15,    1.400,    0.000,  999,    0.000,  287.432,   43,    0.133,   41.583,  197,  1.9E-02, 1.24E+03,   18,    0.578,   55.123,  101,  2.6E-02, 2.63E+03,   15,    1.223,  338.764,   41,    0.157, 1.49E+03,   22,    0.694,  745.920,   33,    0.346,  287.432,   43,    0.133, 2.12E+03,   18,    0.985, 1.29E+03,   17,    0.597, 2.69E+03,   15,    1.249
  8,   7,    0.000,  999,    0.000,  178.005,  131,    0.107,  747.641,   35,    0.450,  912.864,   29,    0.550,   26.811,  592,  1.6E-02,    0.000,  999,    0.000,  707.940,   38,    0.426, 1.69E+03,   19,    1.016,  629.106,    4,    0.379,    0.000,  999,    0.000,  525.047,   16,    0.316,  698.901,   41,    0.421,   85.049,  199,  5.1E-02, 1.81E+03,    7,    1.090,  197.114,   68,    0.119,   57.196,   52,  3.4E-02,    0.000,  999,    0.000,    0.000,  999,    0.000,  629.106,    4,    0.379, 2.01E+03,    5,    1.208, 1.66E+03,    4,    1.000, 2.39E+03,   19,    1.442,  179.156,  847,    0.108, 1.36E+03,   96,    0.818,    0.000,  999,    0.000, 1.38E+03,   17,    0.829,  223.054,   96,    0.134, 2.74E+03,   16,    1.651,  434.538,   43,    0.262, 2.69E+03,   18,    1.619, 2.40E+03,   16,    1.444, 1.54E+03,   32,    0.926, 4.66E+03,   13,    2.806, 1.38E+03,   17,    0.829, 2.96E+03,   15,    1.785
  8,   9,    0.000,  999,    0.000,  164.168,  146,  8.7E-02,  715.580,   31,    0.379, 1.17E+03,   19,    0.621,    0.000,  999,    0.000,    0.000,  999,    0.000,  653.018,   33,    0.346, 1.73E+03,   14,    0.918,  760.833,    3,    0.403,    0.000,  999,    0.000,  321.047,   22,    0.170,  794.845,   31,    0.421,    3.066,  999,  1.6E-03, 2.29E+03,    4,    1.213,   62.111,  178,  3.3E-02,   73.562,   37,  3.9E-02,    0.000,  999,    0.000,    0.000,  999,    0.000,  760.833,    3,    0.403, 2.35E+03,    4,    1.246, 1.89E+03,    3,    1.000, 2.39E+03,   14,    1.264,  217.705,  162,    0.115,    0.000,  999,    0.000,   22.376,  630,  1.2E-02, 1.24E+03,   19,    0.656,   47.373,  191,  2.5E-02, 2.57E+03,   15,    1.363,  415.632,   41,    0.220,  321.519,   94,    0.170,  891.634,   27,    0.472,  217.705,  162,    0.115,  954.856,   41,    0.506, 1.26E+03,   17,    0.668, 2.62E+03,   15,    1.389
  9,   7,    0.000,  999,    0.000,  139.477,  182,  7.9E-02,  869.252,   23,    0.492,  896.533,   22,    0.508,   55.216,  296,  3.1E-02,   22.649,  727,  1.3E-02,  911.438,   28,    0.516, 1.87E+03,   16,    1.061,  672.734,    4,    0.381,    0.000,  999,    0.000,  717.735,   12,    0.406, 1.47E+03,   20,    0.830,  313.753,   44,    0.178, 2.08E+03,    5,    1.175,   27.522,  404,  1.6E-02,   74.240,   41,  4.2E-02,    0.000,  999,    0.000,    0.000,  999,    0.000,  672.734,    4,    0.381, 2.10E+03,    4,    1.191, 1.77E+03,    4,    1.000, 2.78E+03,   15,    1.577, 3.09E+03,   18,    1.748,    0.000,  999,    0.000,  116.039,  303,  6.6E-02, 1.65E+03,   22,    0.933,  295.102,   92,    0.167, 2.79E+03,   17,    1.577,  661.248,   34,    0.374, 2.73E+03,   14,    1.549, 2.04E+03,   13,    1.158, 3.09E+03,   18,    1.748, 6.48E+03,    7,    3.671, 1.76E+03,   13,    0.999, 3.08E+03,   15,    1.744
  9,   8,    0.000,  999,    0.000,  100.060,  227,  5.6E-02,  811.700,   24,    0.455,  970.968,   20,    0.545,    0.000,  999,    0.000,    0.000,  999,    0.000,  322.237,   61,    0.181, 1.59E+03,   14,    0.892,  661.573,    3,    0.371,    0.000,  999,    0.000,  543.874,   13,    0.305, 1.00E+03,   23,    0.563,  244.259,   43,    0.137, 1.92E+03,    5,    1.075,  168.990,   62,  9.5E-02,   27.950,   92,  1.6E-02,    0.000,  999,    0.000,    0.000,  999,    0.000,  661.573,    3,    0.371, 2.08E+03,    4,    1.170, 1.78E+03,    3,    1.000, 1.91E+03,   16,    1.072, 1.98E+03,   29,    1.108,    0.000,  999,    0.000,  376.222,   75,    0.211, 1.15E+03,   26,    0.644,  416.456,   48,    0.234, 2.22E+03,   19,    1.247,  444.245,   45,    0.249,  156.825,  224,  8.8E-02, 1.01E+03,   24,    0.568, 1.98E+03,   29,    1.108, 2.58E+03,   20,    1.446, 1.52E+03,   15,    0.855, 2.64E+03,   15,    1.480
  9,   9,   42.337,  219,  2.2E-02,  164.214,  142,  8.6E-02,  902.471,   21,    0.473, 1.01E+03,   19,    0.527,    0.000,  999,    0.000,    0.000,  999,    0.000,  323.455,   59,    0.169, 1.79E+03,   12,    0.937,  747.301,    3,    0.391,    0.000,  999,    0.000,  482.077,   14,    0.253,  994.337,   23,    0.521,  101.981,   97,  5.3E-02, 2.18E+03,    5,    1.144,  343.619,   29,    0.180,   62.022,   42,  3.2E-02,    0.000,  999,    0.000,    0.000,  999,    0.000,  747.301,    3,    0.391, 2.53E+03,    3,    1.324, 1.91E+03,    3,    1.000, 2.11E+03,   14,    1.106,    0.000,  999,    0.000,    0.000,  999,    0.000,    0.000,  999,    0.000, 1.65E+03,   13,    0.862,    3.336,  999,  1.7E-03, 3.52E+03,   11,    1.845,  519.445,   34,    0.272,    0.000,  999,    0.000, 1.18E+03,   22,    0.619,    0.000,  999,    0.000,  519.445,   34,    0.272, 1.65E+03,   13,    0.862, 3.53E+03,   11,    1.847
  6,   6,    5.600,  999,  2.8E-03,    0.000,  999,    0.000, 1.50E+03,   12,    0.760,  474.290,   39,    0.240,    0.000,  999,    0.000,    0.000,  999,    0.000,  665.330,   34,    0.336, 1.85E+03,   14,    0.934,  744.819,    3,    0.376,    0.000,  999,    0.000,  439.787,   17,    0.222,  591.787,   44,    0.299,  229.707,   52,    0.116, 2.37E+03,    4,    1.199,  180.619,   56,  9.1E-02,   48.143,   59,  2.4E-02,    0.000,  999,    0.000,    0.000,  999,    0.000,  744.819,    3,    0.376, 2.55E+03,    3,    1.290, 1.98E+03,    3,    1.000, 2.51E+03,   14,    1.270, 1.78E+03,   37,    0.898,    0.000,  999,    0.000,  321.073,   95,    0.162, 1.59E+03,   21,    0.801,  316.167,   65,    0.160, 3.53E+03,   13,    1.787,  515.405,   44,    0.261, 1.10E+03,   37,    0.554,    0.000,  999,    0.000, 1.78E+03,   37,    0.898, 3.39E+03,   15,    1.712, 1.91E+03,   13,    0.964, 3.85E+03,   11,    1.946
