Row, Col, Ala, Ala %SD, Ala/Cr+PCr, Asp, Asp %SD, Asp/Cr+PCr, Cr, Cr %SD, Cr/Cr+PCr, PCr, PCr %SD, PCr/Cr+PCr, GABA, GABA %SD, GABA/Cr+PCr, Glc, Glc %SD, Glc/Cr+PCr, Gln, Gln %SD, Gln/Cr+PCr, Glu, Glu %SD, Glu/Cr+PCr, GPC, GPC %SD, GPC/Cr+PCr, PCh, PCh %SD, PCh/Cr+PCr, GSH, GSH %SD, GSH/Cr+PCr, Ins, Ins %SD, Ins/Cr+PCr, Lac, Lac %SD, Lac/Cr+PCr, NAA, NAA %SD, NAA/Cr+PCr, NAAG, NAAG %SD, NAAG/Cr+PCr, Scyllo, Scyllo %SD, Scyllo/Cr+PCr, Tau, Tau %SD, Tau/Cr+PCr, -CrCH2, -CrCH2 %SD, -CrCH2/Cr+PCr, GPC+PCh, GPC+PCh %SD, GPC+PCh/Cr+PCr, NAA+NAAG, NAA+NAAG %SD, NAA+NAAG/Cr+PCr, Cr+PCr, Cr+PCr %SD, Cr+PCr/Cr+PCr, Glu+Gln, Glu+Gln %SD, Glu+Gln/Cr+PCr, Lip13a, Lip13a %SD, Lip13a/Cr+PCr, Lip13b, Lip13b %SD, Lip13b/Cr+PCr, Lip09, Lip09 %SD, Lip09/Cr+PCr, MM09, MM09 %SD, MM09/Cr+PCr, Lip20, Lip20 %SD, Lip20/Cr+PCr, MM20, MM20 %SD, MM20/Cr+PCr, MM12, MM12 %SD, MM12/Cr+PCr, MM14, MM14 %SD, MM14/Cr+PCr, MM17, MM17 %SD, MM17/Cr+PCr, Lip13a+Lip13b, Lip13a+Lip13b %SD, Lip13a+Lip13b/Cr+PCr, MM14+Lip13a+L, MM14+Lip13a+L %SD, MM14+Lip13a+L/Cr+PCr, MM09+Lip09, MM09+Lip09 %SD, MM09+Lip09/Cr+PCr, MM20+Lip20, MM20+Lip20 %SD, MM20+Lip20/Cr+PCr
  7,   7,  177.541,  185,  7.8E-02,  550.726,   74,    0.242, 1.22E+03,   38,    0.535, 1.06E+03,   43,    0.465,  102.649,  244,  4.5E-02,  295.188,   86,    0.130,  741.025,   87,    0.325, 3.44E+03,   22,    1.510,  555.570,   11,    0.244,    0.000,  999,    0.000,  904.079,   24,    0.397, 3.96E+03,   17,    1.737,  463.691,   79,    0.204, 3.91E+03,    5,    1.717,    0.000,  999,    0.000,  114.233,   55,  5.0E-02,  136.264,  281,  6.0E-02,    0.000,  999,    0.000,  555.570,   11,    0.244, 3.91E+03,    5,    1.717, 2.28E+03,    7,    1.000, 4.18E+03,   24,    1.836, 2.21E+04,    7,    9.698,    0.000,  999,    0.000,    0.000,  999,    0.000, 3.36E+03,   14,    1.475, 2.39E+03,   30,    1.048, 5.46E+03,   15,    2.396, 1.06E+03,   23,    0.466, 6.11E+03,   12,    2.682, 1.24E+03,   38,    0.546, 2.21E+04,    7,    9.698, 2.93E+04,    4,   12.846, 3.36E+03,   14,    1.475, 7.84E+03,   11,    3.444
  6,   6,    0.000,  999,    0.000,  256.737,  179,    0.127, 1.35E+03,   71,    0.669,  670.514,  145,    0.331,  241.277,  119,    0.119,  155.278,  182,  7.7E-02, 1.77E+03,   86,    0.873, 2.05E+03,   83,    1.013,  689.637,   12,    0.341,    0.000,  999,    0.000, 1.12E+03,   30,    0.553, 4.12E+03,   23,    2.036, 2.62E+03,   32,    1.293, 4.58E+03,    6,    2.264,    0.000,  999,    0.000,   82.228,   92,  4.1E-02,  137.355,  318,  6.8E-02,    0.000,  999,    0.000,  689.637,   12,    0.341, 4.58E+03,    6,    2.264, 2.02E+03,   10,    1.000, 3.82E+03,   72,    1.887, 5.51E+03,   27,    2.724,    0.000,  999,    0.000,   49.614,  999,  2.5E-02, 3.36E+03,   21,    1.660,  997.728,   51,    0.493, 6.04E+03,   17,    2.983, 1.11E+03,   32,    0.547, 6.92E+03,   10,    3.417,    0.000,  999,    0.000, 5.51E+03,   27,    2.724, 1.35E+04,    8,    6.688, 3.41E+03,   15,    1.685, 7.04E+03,   14,    3.476
  6,   7,    0.000,  999,    0.000,   34.132,  999,  1.0E-02, 3.32E+03,    8,    1.000,    0.000,  999,    0.000,  237.853,  153,  7.2E-02,  271.248,  133,  8.2E-02, 2.10E+03,  113,    0.632, 1.85E+03,  148,    0.558, 1.06E+03,   11,    0.320,    0.000,  999,    0.000, 2.14E+03,   23,    0.643, 1.03E+04,   12,    3.086, 8.48E+03,   22,    2.552, 4.22E+03,    8,    1.270,    0.000,  999,    0.000,  229.403,   42,  6.9E-02,  316.667,  174,  9.5E-02,    0.000,  999,    0.000, 1.06E+03,   11,    0.320, 4.22E+03,    8,    1.270, 3.32E+03,    8,    1.000, 3.96E+03,  106,    1.190, 2.24E+04,    8,    6.745,    0.000,  999,    0.000, 4.74E+03,   16,    1.428,  348.459,  146,    0.105, 3.07E+03,   19,    0.922,    0.000,  999,    0.000,  104.582,  306,  3.1E-02, 8.09E+03,   10,    2.433,    0.000,  999,    0.000, 2.24E+04,    8,    6.745, 3.06E+04,    5,    9.210, 5.09E+03,   12,    1.532, 3.07E+03,   19,    0.922
  6,   8,  814.555,   36,    0.546,    0.000,  999,    0.000, 1.06E+03,   43,    0.710,  432.786,  108,    0.290,  129.803,  180,  8.7E-02,  199.094,  117,    0.133, 1.41E+03,   41,    0.945, 2.90E+03,   23,    1.943,  657.391,    8,    0.440,    0.000,  999,    0.000,  792.040,   23,    0.531, 2.05E+03,   28,    1.373,  868.061,   36,    0.581, 3.81E+03,    7,    2.549,  340.944,   90,    0.228,  119.881,   46,  8.0E-02,  192.862,  179,    0.129,  148.067,  151,  9.9E-02,  657.391,    8,    0.440, 4.15E+03,    5,    2.778, 1.49E+03,    9,    1.000, 4.31E+03,   21,    2.887, 5.92E+03,   23,    3.966,    0.000,  999,    0.000, 1.07E+03,   51,    0.716, 2.26E+03,   26,    1.514,  928.264,   38,    0.622, 3.89E+03,   22,    2.607,  699.394,   48,    0.468, 6.11E+03,   15,    4.096, 1.03E+03,   49,    0.687, 5.92E+03,   23,    3.966, 1.27E+04,    7,    8.531, 3.33E+03,   12,    2.229, 4.82E+03,   16,    3.229
  7,   6,    0.000,  999,    0.000,  258.156,  141,    0.138, 1.18E+03,   26,    0.628,  697.234,   46,    0.372,    0.000,  999,    0.000,  241.096,   95,    0.129,  212.133,  211,    0.113, 1.84E+03,   28,    0.981,  484.382,   11,    0.259,    0.000,  999,    0.000,  480.703,   35,    0.257, 2.15E+03,   26,    1.149,    0.000,  999,    0.000, 3.14E+03,    8,    1.676,  832.301,   30,    0.444,   44.108,  123,  2.4E-02,  380.554,   87,    0.203,  305.520,   78,    0.163,  484.382,   11,    0.259, 3.97E+03,    6,    2.120, 1.87E+03,    8,    1.000, 2.05E+03,   32,    1.094, 3.42E+03,   39,    1.825,    0.000,  999,    0.000,  309.116,  206,    0.165, 3.79E+03,   19,    2.021,  280.853,  159,    0.150, 7.05E+03,   14,    3.764, 1.42E+03,   36,    0.759, 7.83E+03,    8,    4.179,    0.000,  999,    0.000, 3.42E+03,   39,    1.825, 1.27E+04,    7,    6.763, 4.10E+03,   13,    2.186, 7.33E+03,   13,    3.914
  7,   8,  349.394,   61,    0.196,    0.000,  999,    0.000, 1.12E+03,   30,    0.630,  660.604,   54,    0.370,  126.779,  183,  7.1E-02,  279.657,   84,    0.157,  560.608,   74,    0.314, 2.68E+03,   19,    1.500,  531.693,    8,    0.298,    0.000,  999,    0.000,  830.068,   18,    0.465, 2.46E+03,   19,    1.375,  656.881,   35,    0.368, 3.95E+03,    6,    2.212,  850.983,   28,    0.477,  108.451,   45,  6.1E-02,    0.000,  999,    0.000,   86.473,  227,  4.8E-02,  531.693,    8,    0.298, 4.80E+03,    4,    2.689, 1.79E+03,    7,    1.000, 3.24E+03,   20,    1.814, 3.31E+03,   29,    1.855,    0.000,  999,    0.000,  538.949,   71,    0.302, 2.58E+03,   18,    1.444,  483.865,   50,    0.271, 5.20E+03,   14,    2.915,  696.443,   45,    0.390, 6.67E+03,    8,    3.735, 1.73E+03,   25,    0.967, 3.31E+03,   29,    1.855, 1.07E+04,    6,    5.980, 3.12E+03,   11,    1.746, 5.69E+03,   12,    3.186
  8,   6,  211.456,   73,    0.119,  295.910,  104,    0.166, 1.45E+03,   17,    0.814,  332.274,   76,    0.186,    2.817,  999,  1.6E-03,  216.233,   92,    0.121, 1.36E+03,   24,    0.763, 2.11E+03,   17,    1.183,  404.738,    9,    0.227,    0.000,  999,    0.000,  562.512,   21,    0.316, 2.28E+03,   16,    1.280,  156.739,  106,  8.8E-02, 3.52E+03,    6,    1.974,  317.398,   61,    0.178,   52.438,   77,  2.9E-02,  354.502,   75,    0.199,   64.500,  264,  3.6E-02,  404.738,    9,    0.227, 3.84E+03,    4,    2.152, 1.78E+03,    6,    1.000, 3.47E+03,   14,    1.946, 3.31E+03,   37,    1.859,  113.244,  446,  6.4E-02,   22.223,  999,  1.2E-02, 3.03E+03,   18,    1.699,  181.748,  222,    0.102, 5.71E+03,   12,    3.204, 1.08E+03,   33,    0.608, 1.86E+03,   37,    1.041,  759.875,   46,    0.426, 3.43E+03,   29,    1.923, 6.37E+03,   10,    3.572, 3.05E+03,   12,    1.711, 5.89E+03,   11,    3.306
  8,   7,  196.395,   75,    0.116,  317.799,   89,    0.188, 1.30E+03,   18,    0.768,  393.027,   59,    0.232,    0.000,  999,    0.000,  107.706,  169,  6.4E-02, 1.02E+03,   30,    0.603, 2.37E+03,   14,    1.399,  367.718,    9,    0.217,    0.000,  999,    0.000,  569.113,   19,    0.336, 1.99E+03,   17,    1.173,   63.372,  245,  3.7E-02, 3.02E+03,    5,    1.786,  244.657,   68,    0.145,   65.003,   58,  3.8E-02,   72.832,  339,  4.3E-02,    0.000,  999,    0.000,  367.718,    9,    0.217, 3.27E+03,    4,    1.931, 1.69E+03,    5,    1.000, 3.39E+03,   14,    2.002, 1.74E+03,   33,    1.028,    0.000,  999,    0.000,    0.000,  999,    0.000, 2.39E+03,   13,    1.411,  104.704,  249,  6.2E-02, 4.72E+03,   12,    2.793,  907.506,   26,    0.536, 1.19E+03,   41,    0.702, 2.11E+03,   11,    1.246, 1.74E+03,   33,    1.028, 3.83E+03,   14,    2.266, 2.39E+03,   13,    1.411, 4.83E+03,   11,    2.854
  8,   8,  400.209,   40,    0.254,   56.512,  498,  3.6E-02, 1.30E+03,   20,    0.825,  275.055,   99,    0.175,   33.565,  532,  2.1E-02,    7.905,  999,  5.0E-03, 1.32E+03,   25,    0.841, 2.69E+03,   14,    1.709,  391.337,    8,    0.249,    0.000,  999,    0.000,  632.771,   17,    0.402, 1.71E+03,   21,    1.087,  162.081,  106,    0.103, 3.04E+03,    5,    1.929,  220.219,   80,    0.140,   97.352,   37,  6.2E-02,    0.000,  999,    0.000,    0.000,  999,    0.000,  391.337,    8,    0.249, 3.26E+03,    4,    2.069, 1.57E+03,    5,    1.000, 4.01E+03,   13,    2.550, 1.35E+03,   48,    0.857,    0.000,  999,    0.000,    0.000,  999,    0.000, 3.32E+03,   11,    2.108,  218.214,  109,    0.139, 7.36E+03,    9,    4.677, 1.30E+03,   24,    0.825, 2.88E+03,   22,    1.831, 3.13E+03,   15,    1.986, 1.35E+03,   48,    0.857, 5.53E+03,   11,    3.512, 3.32E+03,   11,    2.108, 7.58E+03,    9,    4.816
  5,   5, 1.56E+03,   27,    0.805,  332.832,  140,    0.171, 1.17E+03,   52,    0.604,  769.187,   82,    0.396,   28.798,  999,  1.5E-02,  227.356,  127,    0.117, 1.08E+03,   78,    0.554, 1.55E+03,   60,    0.797,  696.981,   11,    0.359,    0.000,  999,    0.000,  210.146,  128,    0.108, 2.55E+03,   34,    1.315,  165.739,  271,  8.5E-02, 3.40E+03,   10,    1.751,  106.071,  373,  5.5E-02,   82.083,   90,  4.2E-02,  163.128,  273,  8.4E-02,  233.806,  142,    0.120,  696.981,   11,    0.359, 3.51E+03,    9,    1.806, 1.94E+03,   11,    1.000, 2.62E+03,   49,    1.351,    0.000,  999,    0.000, 3.62E+03,   11,    1.864,    0.000,  999,    0.000, 3.59E+03,   17,    1.848,  973.814,   60,    0.502, 7.97E+03,   15,    4.105, 1.53E+03,   30,    0.790,    0.000,  999,    0.000, 2.63E+03,   25,    1.354, 3.62E+03,   11,    1.864, 5.15E+03,   11,    2.654, 3.59E+03,   17,    1.848, 8.95E+03,   14,    4.607
