Row, Col, Ala, Ala %SD, Ala/Cr+PCr, Asp, Asp %SD, Asp/Cr+PCr, Cr, Cr %SD, Cr/Cr+PCr, PCr, PCr %SD, PCr/Cr+PCr, GABA, GABA %SD, GABA/Cr+PCr, Glc, Glc %SD, Glc/Cr+PCr, Gln, Gln %SD, Gln/Cr+PCr, Glu, Glu %SD, Glu/Cr+PCr, GPC, GPC %SD, GPC/Cr+PCr, PCh, PCh %SD, PCh/Cr+PCr, GSH, GSH %SD, GSH/Cr+PCr, Ins, Ins %SD, Ins/Cr+PCr, Lac, Lac %SD, Lac/Cr+PCr, NAA, NAA %SD, NAA/Cr+PCr, NAAG, NAAG %SD, NAAG/Cr+PCr, Scyllo, Scyllo %SD, Scyllo/Cr+PCr, Tau, Tau %SD, Tau/Cr+PCr, -CrCH2, -CrCH2 %SD, -CrCH2/Cr+PCr, GPC+PCh, GPC+PCh %SD, GPC+PCh/Cr+PCr, NAA+NAAG, NAA+NAAG %SD, NAA+NAAG/Cr+PCr, Cr+PCr, Cr+PCr %SD, Cr+PCr/Cr+PCr, Glu+Gln, Glu+Gln %SD, Glu+Gln/Cr+PCr, Lip13a, Lip13a %SD, Lip13a/Cr+PCr, Lip13b, Lip13b %SD, Lip13b/Cr+PCr, Lip09, Lip09 %SD, Lip09/Cr+PCr, MM09, MM09 %SD, MM09/Cr+PCr, Lip20, Lip20 %SD, Lip20/Cr+PCr, MM20, MM20 %SD, MM20/Cr+PCr, MM12, MM12 %SD, MM12/Cr+PCr, MM14, MM14 %SD, MM14/Cr+PCr, MM17, MM17 %SD, MM17/Cr+PCr, Lip13a+Lip13b, Lip13a+Lip13b %SD, Lip13a+Lip13b/Cr+PCr, MM14+Lip13a+L, MM14+Lip13a+L %SD, MM14+Lip13a+L/Cr+PCr, MM09+Lip09, MM09+Lip09 %SD, MM09+Lip09/Cr+PCr, MM20+Lip20, MM20+Lip20 %SD, MM20+Lip20/Cr+PCr
  7,   7,   23.065,  999,  8.2E-03,    0.000,  999,    0.000,    0.000,  999,    0.000, 2.80E+03,    6,    1.000,  113.709,  252,  4.1E-02,  306.305,   96,    0.109, 1.13E+03,   45,    0.404, 2.24E+03,   26,    0.801,  924.262,   54,    0.330,   24.132,  999,  8.6E-03,  418.019,   44,    0.149, 2.60E+03,   24,    0.930,  223.852,  121,  8.0E-02, 3.72E+03,    7,    1.329,  388.633,   67,    0.139,  247.707,   26,  8.9E-02,  678.406,   65,    0.242, 1.18E+03,   23,    0.421,  948.394,    6,    0.339, 4.11E+03,    5,    1.468, 2.80E+03,    6,    1.000, 3.37E+03,   23,    1.205, 4.28E+03,   25,    1.529,    0.000,  999,    0.000,  828.906,   69,    0.296, 1.84E+03,   31,    0.657,  885.958,   48,    0.317, 5.04E+03,   18,    1.800,  442.273,   84,    0.158,    0.000,  999,    0.000,  363.702,  144,    0.130, 4.28E+03,   25,    1.529, 4.72E+03,   22,    1.687, 2.67E+03,   18,    0.953, 5.92E+03,   16,    2.117
  6,   6,    0.000,  999,    0.000,  177.499,  200,    0.122,    0.000,  999,    0.000, 1.45E+03,   11,    1.000,  198.830,  110,    0.137,  267.481,   82,    0.184,  494.798,  124,    0.340, 1.59E+03,   44,    1.097,    0.000,  999,    0.000,  743.150,    8,    0.511,  366.109,   57,    0.252, 3.54E+03,   21,    2.439,    0.000,  999,    0.000, 3.15E+03,    6,    2.171,    0.000,  999,    0.000,  204.706,   28,    0.141,  867.520,   40,    0.597, 1.03E+03,   25,    0.706,  743.150,    8,    0.511, 3.15E+03,    6,    2.171, 1.45E+03,   11,    1.000, 2.09E+03,   46,    1.438, 4.72E+03,   40,    3.245,  137.908,  460,  9.5E-02, 1.33E+03,   41,    0.914, 1.51E+03,   39,    1.039,  729.354,   46,    0.502, 2.11E+03,   45,    1.450,  383.333,  119,    0.264, 4.72E+03,   18,    3.248,    0.000,  999,    0.000, 4.85E+03,   30,    3.340, 9.96E+03,   12,    6.852, 2.84E+03,   18,    1.953, 2.84E+03,   32,    1.952
  6,   7,    0.000,  999,    0.000,   46.968,  724,  2.7E-02,    0.000,  999,    0.000, 1.74E+03,    8,    1.000,  117.414,  176,  6.7E-02,  229.469,   93,    0.132, 1.11E+03,   38,    0.635, 1.69E+03,   28,    0.971,  317.249,   61,    0.182,  408.944,   47,    0.235,  157.558,   97,  9.0E-02, 1.90E+03,   27,    1.091,  101.745,  225,  5.8E-02, 2.66E+03,    7,    1.527,  399.863,   47,    0.230,  181.045,   28,    0.104,  877.283,   37,    0.504, 1.30E+03,   17,    0.748,  726.193,    7,    0.417, 3.06E+03,    6,    1.757, 1.74E+03,    8,    1.000, 2.80E+03,   22,    1.606, 5.60E+03,   19,    3.215,    0.000,  999,    0.000,  172.250,  420,  9.9E-02, 2.62E+03,   28,    1.505, 1.11E+03,   50,    0.635, 5.52E+03,   18,    3.167,  872.492,   48,    0.501, 2.99E+03,   24,    1.718, 1.79E+03,   26,    1.028, 5.60E+03,   19,    3.215, 9.47E+03,   10,    5.434, 2.79E+03,   17,    1.604, 6.62E+03,   15,    3.802
  6,   8,    0.000,  999,    0.000,  257.777,  104,    0.192,    0.000,  999,    0.000, 1.34E+03,    8,    1.000,   40.816,  407,  3.0E-02,  107.363,  156,  8.0E-02,  551.103,   60,    0.410, 1.73E+03,   23,    1.288,    0.000,  999,    0.000,  533.990,    7,    0.397,    0.000,  999,    0.000,  221.196,  176,    0.165,    3.988,  999,  3.0E-03, 2.28E+03,    8,    1.696,  298.415,   61,    0.222,   81.224,   49,  6.0E-02,  602.250,   41,    0.448,  868.148,   18,    0.646,  533.990,    7,    0.397, 2.58E+03,    6,    1.918, 1.34E+03,    8,    1.000, 2.28E+03,   23,    1.698, 1.03E+03,  120,    0.765,  292.060,  187,    0.217,   59.998,  582,  4.5E-02, 2.04E+03,   22,    1.519,  309.916,   74,    0.230, 4.78E+03,   14,    3.554,  670.631,   45,    0.499, 2.05E+03,   31,    1.526, 1.99E+03,   21,    1.477, 1.32E+03,   65,    0.983, 4.04E+03,   15,    3.007, 2.10E+03,   15,    1.564, 5.09E+03,   13,    3.785
  7,   6,    0.000,  999,    0.000,  441.124,   94,    0.164,    0.000,  999,    0.000, 2.70E+03,    5,    1.000,  205.898,  124,  7.6E-02,  347.172,   76,    0.129,  186.205,  239,  6.9E-02, 2.06E+03,   25,    0.764,    0.000,  999,    0.000,  933.232,    6,    0.346,  387.191,   42,    0.144, 2.45E+03,   23,    0.910,   96.053,  255,  3.6E-02, 3.48E+03,    5,    1.292,    0.000,  999,    0.000,  261.286,   22,  9.7E-02, 1.03E+03,   37,    0.380,  985.263,   24,    0.365,  933.232,    6,    0.346, 3.48E+03,    5,    1.292, 2.70E+03,    5,    1.000, 2.25E+03,   29,    0.833, 7.01E+03,   18,    2.598,    0.000,  999,    0.000, 2.38E+03,   34,    0.882, 1.39E+03,   57,    0.515, 1.51E+03,   42,    0.558, 2.57E+03,   38,    0.953,  192.493,  311,  7.1E-02,    0.000,  999,    0.000, 3.12E+03,   12,    1.155, 7.01E+03,   18,    2.598, 7.20E+03,   15,    2.669, 3.77E+03,   14,    1.397, 4.08E+03,   23,    1.512
  7,   8,   76.801,  237,  4.2E-02,   20.286,  999,  1.1E-02,   15.776,  999,  8.7E-03, 1.81E+03,   24,    0.991,   32.292,  630,  1.8E-02,   28.938,  713,  1.6E-02,  984.305,   38,    0.540, 1.44E+03,   30,    0.789,    0.000,  999,    0.000,  637.920,    6,    0.350,   23.356,  550,  1.3E-02,  753.595,   58,    0.414,  137.415,  144,  7.5E-02, 3.06E+03,    6,    1.682,  359.916,   54,    0.198,  154.144,   29,  8.5E-02,  567.738,   53,    0.312,  880.731,   23,    0.483,  637.920,    6,    0.350, 3.42E+03,    5,    1.879, 1.82E+03,    6,    1.000, 2.42E+03,   24,    1.330,  233.573,  533,    0.128,   27.622,  999,  1.5E-02,    2.198,  999,  1.2E-03, 2.79E+03,   17,    1.531,   40.994,  481,  2.3E-02, 5.38E+03,   14,    2.956,  972.309,   37,    0.534, 3.47E+03,   19,    1.906,    0.000,  999,    0.000,  261.195,  360,    0.143, 4.71E+03,   16,    2.583, 2.79E+03,   13,    1.532, 5.43E+03,   13,    2.978
  8,   6,    0.000,  999,    0.000,  144.611,  222,  6.5E-02, 1.41E+03,   21,    0.634,  811.500,   36,    0.366,    0.000,  999,    0.000,   15.031,  999,  6.8E-03, 1.21E+03,   28,    0.544, 2.44E+03,   15,    1.101,  575.732,    6,    0.260,    0.000,  999,    0.000,  875.133,   13,    0.395, 1.67E+03,   22,    0.755,  317.450,   62,    0.143, 3.08E+03,    5,    1.391,  214.697,   74,  9.7E-02,   65.302,   59,  2.9E-02,    0.000,  999,    0.000,    0.000,  999,    0.000,  575.732,    6,    0.260, 3.30E+03,    4,    1.487, 2.22E+03,    4,    1.000, 3.65E+03,   14,    1.645,  644.331,  288,    0.290, 1.38E+03,  109,    0.623,   34.655,  999,  1.6E-02, 2.06E+03,   22,    0.931,  307.755,   99,    0.139, 3.84E+03,   16,    1.732,  644.626,   44,    0.291, 1.65E+03,   35,    0.746, 2.55E+03,   15,    1.149, 2.03E+03,   38,    0.914, 4.33E+03,   14,    1.950, 2.10E+03,   14,    0.946, 4.15E+03,   15,    1.871
  8,   7,   97.721,  136,  3.7E-02,    0.000,  999,    0.000, 1.60E+03,   14,    0.607, 1.03E+03,   22,    0.393,    0.000,  999,    0.000,    0.000,  999,    0.000,  648.356,   42,    0.246, 2.35E+03,   13,    0.893,  677.442,    4,    0.257,    0.000,  999,    0.000,  588.450,   16,    0.223, 1.92E+03,   17,    0.731,   15.282,  936,  5.8E-03, 3.34E+03,    5,    1.268,  575.847,   25,    0.219,   87.783,   40,  3.3E-02,    0.000,  999,    0.000,    0.000,  999,    0.000,  677.442,    4,    0.257, 3.92E+03,    3,    1.487, 2.63E+03,    3,    1.000, 3.00E+03,   14,    1.139, 1.94E+03,   33,    0.737,    0.000,  999,    0.000,  411.885,   73,    0.156, 1.77E+03,   21,    0.672,  324.029,   62,    0.123, 4.09E+03,   14,    1.553,  419.855,   66,    0.159,  510.051,   92,    0.194, 2.09E+03,   17,    0.795, 1.94E+03,   33,    0.737, 2.87E+03,   17,    1.090, 2.18E+03,   12,    0.828, 4.41E+03,   12,    1.676
  8,   8,    0.000,  999,    0.000,    0.000,  999,    0.000, 1.09E+03,   24,    0.431, 1.44E+03,   19,    0.569,    0.000,  999,    0.000,    0.000,  999,    0.000,  535.648,   46,    0.211, 1.94E+03,   14,    0.765,  896.909,    3,    0.354,    0.000,  999,    0.000,  446.693,   19,    0.176, 1.94E+03,   17,    0.765,  121.540,  114,  4.8E-02, 3.88E+03,    4,    1.529,  585.619,   25,    0.231,  161.539,   22,  6.4E-02,    0.000,  999,    0.000,  275.516,   55,    0.109,  896.909,    3,    0.354, 4.47E+03,    3,    1.760, 2.54E+03,    3,    1.000, 2.48E+03,   15,    0.976,    0.000,  999,    0.000,  306.826,   57,    0.121,   73.552,  106,  2.9E-02, 2.43E+03,   15,    0.959,   46.320,  110,  1.8E-02, 4.82E+03,   13,    1.901,  638.840,   41,    0.252, 2.89E+03,   19,    1.138, 1.33E+03,   31,    0.523,  306.826,   57,    0.121, 3.83E+03,   17,    1.511, 2.51E+03,   15,    0.988, 4.87E+03,   13,    1.920
  5,   5, 1.04E+03,   32,    0.430,  104.678,  434,  4.3E-02,  533.709,  117,    0.221, 1.88E+03,   35,    0.779,  142.075,  205,  5.9E-02,  430.372,   67,    0.179, 1.50E+03,   42,    0.622, 2.28E+03,   32,    0.947, 1.05E+03,    6,    0.434,    0.000,  999,    0.000,  920.946,   23,    0.382, 3.56E+03,   21,    1.479,  201.863,  182,  8.4E-02, 3.56E+03,    5,    1.478,    0.000,  999,    0.000,  281.490,   23,    0.117,  847.803,   51,    0.352,  434.286,   69,    0.180, 1.05E+03,    6,    0.434, 3.56E+03,    5,    1.478, 2.41E+03,    6,    1.000, 3.78E+03,   27,    1.569, 5.56E+03,   26,    2.306,  401.257,  126,    0.166,    0.000,  999,    0.000, 2.36E+03,   19,    0.979, 1.29E+03,   40,    0.536, 4.25E+03,   17,    1.763,  734.160,   29,    0.305, 4.39E+03,   10,    1.822,    0.000,  999,    0.000, 5.96E+03,   21,    2.472, 1.11E+04,   11,    4.599, 2.36E+03,   19,    0.979, 5.54E+03,   14,    2.299
