Row, Col, Ala, Ala %SD, Ala/Cr+PCr, Asp, Asp %SD, Asp/Cr+PCr, Cr, Cr %SD, Cr/Cr+PCr, PCr, PCr %SD, PCr/Cr+PCr, GABA, GABA %SD, GABA/Cr+PCr, Glc, Glc %SD, Glc/Cr+PCr, Gln, Gln %SD, Gln/Cr+PCr, Glu, Glu %SD, Glu/Cr+PCr, GPC, GPC %SD, GPC/Cr+PCr, PCh, PCh %SD, PCh/Cr+PCr, GSH, GSH %SD, GSH/Cr+PCr, Ins, Ins %SD, Ins/Cr+PCr, Lac, Lac %SD, Lac/Cr+PCr, NAA, NAA %SD, NAA/Cr+PCr, NAAG, NAAG %SD, NAAG/Cr+PCr, Scyllo, Scyllo %SD, Scyllo/Cr+PCr, Tau, Tau %SD, Tau/Cr+PCr, -CrCH2, -CrCH2 %SD, -CrCH2/Cr+PCr, GPC+PCh, GPC+PCh %SD, GPC+PCh/Cr+PCr, NAA+NAAG, NAA+NAAG %SD, NAA+NAAG/Cr+PCr, Cr+PCr, Cr+PCr %SD, Cr+PCr/Cr+PCr, Glu+Gln, Glu+Gln %SD, Glu+Gln/Cr+PCr, Lip13a, Lip13a %SD, Lip13a/Cr+PCr, Lip13b, Lip13b %SD, Lip13b/Cr+PCr, Lip09, Lip09 %SD, Lip09/Cr+PCr, MM09, MM09 %SD, MM09/Cr+PCr, Lip20, Lip20 %SD, Lip20/Cr+PCr, MM20, MM20 %SD, MM20/Cr+PCr, MM12, MM12 %SD, MM12/Cr+PCr, MM14, MM14 %SD, MM14/Cr+PCr, MM17, MM17 %SD, MM17/Cr+PCr, Lip13a+Lip13b, Lip13a+Lip13b %SD, Lip13a+Lip13b/Cr+PCr, MM14+Lip13a+L, MM14+Lip13a+L %SD, MM14+Lip13a+L/Cr+PCr, MM09+Lip09, MM09+Lip09 %SD, MM09+Lip09/Cr+PCr, MM20+Lip20, MM20+Lip20 %SD, MM20+Lip20/Cr+PCr
  7,   7,  183.334,  117,  7.1E-02,    0.000,  999,    0.000,    0.000,  999,    0.000, 2.57E+03,    5,    1.000,   93.943,  260,  3.6E-02,  429.219,   57,    0.167,  659.231,   67,    0.256, 1.95E+03,   26,    0.757,  734.420,   20,    0.285,  219.761,   66,  8.5E-02,  753.760,   21,    0.293, 2.93E+03,   19,    1.139,    0.000,  999,    0.000, 3.11E+03,    5,    1.206,   47.901,  377,  1.9E-02,  317.469,   17,    0.123,  780.916,   47,    0.303,  548.125,   40,    0.213,  954.181,    5,    0.371, 3.15E+03,    5,    1.225, 2.57E+03,    5,    1.000, 2.61E+03,   26,    1.013,    0.000,  999,    0.000, 1.04E+03,   24,    0.403,  203.409,  106,  7.9E-02, 1.00E+03,   34,    0.389,  176.038,   86,  6.8E-02, 2.12E+03,   29,    0.822,  294.130,   69,    0.114, 1.09E+03,   45,    0.422,    0.000,  999,    0.000, 1.04E+03,   24,    0.403, 2.42E+03,   25,    0.939, 1.21E+03,   27,    0.468, 2.29E+03,   27,    0.890
  6,   6,    0.000,  999,    0.000,  129.777,  274,  7.7E-02,   24.629,  999,  1.5E-02, 1.67E+03,   24,    0.985,  155.453,  139,  9.2E-02,  252.734,   89,    0.150,  895.064,   48,    0.530, 1.68E+03,   29,    0.993,  802.966,    6,    0.475,    0.000,  999,    0.000,  965.781,   17,    0.572, 2.77E+03,   20,    1.641,    0.000,  999,    0.000, 3.07E+03,    5,    1.814,    0.000,  999,    0.000,  200.479,   27,    0.119,  509.774,   68,    0.302,  242.247,   99,    0.143,  802.966,    6,    0.475, 3.07E+03,    5,    1.814, 1.69E+03,    8,    1.000, 2.57E+03,   25,    1.523, 3.38E+03,   31,    1.998,    0.000,  999,    0.000,  647.541,   83,    0.383,  884.093,   59,    0.523,  419.897,   88,    0.248, 1.28E+03,   64,    0.758,  314.243,   93,    0.186, 1.41E+03,   48,    0.832, 2.15E+03,   18,    1.270, 3.38E+03,   31,    1.998, 5.10E+03,   22,    3.015, 1.53E+03,   34,    0.906, 1.70E+03,   48,    1.006
  6,   7,    0.000,  999,    0.000,  174.278,  148,    0.146,  126.166,  308,    0.106, 1.07E+03,   38,    0.894,  108.234,  146,  9.1E-02,  190.703,   84,    0.160, 1.18E+03,   35,    0.988, 1.55E+03,   30,    1.295,  561.657,    7,    0.470,    0.000,  999,    0.000,  401.766,   36,    0.336,  575.961,   77,    0.482,  284.706,   84,    0.238, 2.33E+03,    6,    1.952,    0.000,  999,    0.000,   80.753,   51,  6.8E-02,  363.098,   67,    0.304,  289.415,   63,    0.242,  561.657,    7,    0.470, 2.33E+03,    6,    1.952, 1.19E+03,    9,    1.000, 2.73E+03,   22,    2.283,    0.000,  999,    0.000, 1.28E+03,   38,    1.071,  111.783,  222,  9.4E-02,  876.635,   36,    0.734,  174.165,   99,    0.146, 1.36E+03,   37,    1.135,  263.800,   47,    0.221,  831.828,   44,    0.696,  892.002,   24,    0.747, 1.28E+03,   38,    1.071, 2.37E+03,   20,    1.988,  988.418,   29,    0.828, 1.53E+03,   32,    1.281
  6,   8,    0.000,  999,    0.000,   69.452,  111,    0.615,  112.920,   54,    1.000,    0.000,  999,    0.000,   37.024,  124,    0.328,   69.831,   67,    0.618,  158.236,  131,    1.401,  431.728,   55,    3.823,    0.000,  999,    0.000,  121.297,   23,    1.074,  230.361,   37,    2.040,  398.383,   65,    3.528,    0.000,  999,    0.000,  605.560,   16,    5.363,  346.063,   26,    3.065,   14.857,   97,    0.132,   77.525,   97,    0.687,   62.984,   96,    0.558,  121.297,   23,    1.074,  951.623,   13,    8.427,  112.920,   54,    1.000,  589.964,   51,    5.225,  681.764,  172,    6.038,  718.301,   98,    6.361,  414.789,   53,    3.673,  828.843,   38,    7.340,  211.972,   65,    1.877, 1.01E+03,   53,    8.976,  250.233,   74,    2.216,   38.082,  999,    0.337,  438.374,   65,    3.882, 1.40E+03,   46,   12.399, 1.69E+03,   34,   14.952, 1.24E+03,   22,   11.013, 1.23E+03,   43,   10.853
  7,   6,   80.214,  277,  2.7E-02,   93.581,  460,  3.1E-02,    0.000,  999,    0.000, 2.99E+03,    5,    1.000,   23.126,  999,  7.7E-03,  360.179,   77,    0.121, 1.10E+03,   40,    0.369, 3.11E+03,   17,    1.043,  239.435,   74,  8.0E-02,  794.015,   22,    0.266,  713.346,   23,    0.239, 2.40E+03,   23,    0.804,    0.000,  999,    0.000, 3.31E+03,    5,    1.110,    0.000,  999,    0.000,  249.761,   23,  8.4E-02, 1.12E+03,   36,    0.375,  400.461,   58,    0.134, 1.03E+03,    5,    0.346, 3.31E+03,    5,    1.110, 2.99E+03,    5,    1.000, 4.21E+03,   16,    1.411, 4.22E+03,   32,    1.415,  185.503,  247,  6.2E-02, 1.07E+03,   49,    0.359, 1.49E+03,   35,    0.500,  701.704,   52,    0.235, 2.49E+03,   32,    0.833,  516.209,   68,    0.173, 2.85E+03,   21,    0.956,    0.000,  999,    0.000, 4.41E+03,   23,    1.477, 7.78E+03,   12,    2.605, 2.57E+03,   16,    0.859, 3.19E+03,   24,    1.068
  7,   8,  223.184,   75,    0.198,   93.936,  264,  8.3E-02,    0.000,  999,    0.000, 1.13E+03,    8,    1.000,   94.931,  164,  8.4E-02,  297.299,   52,    0.264,  896.289,   38,    0.795, 1.48E+03,   26,    1.310,  555.390,    6,    0.493,    0.000,  999,    0.000,  146.601,   79,    0.130,  774.248,   51,    0.687,   69.673,  262,  6.2E-02, 1.97E+03,    6,    1.747,  206.071,   67,    0.183,  125.918,   29,    0.112,  526.660,   46,    0.467,  697.748,   23,    0.619,  555.390,    6,    0.493, 2.17E+03,    5,    1.930, 1.13E+03,    8,    1.000, 2.37E+03,   23,    2.105,    0.000,  999,    0.000,    0.000,  999,    0.000, 6.38E-02,  999,  5.7E-05,  970.715,   27,    0.861,    0.000,  999,    0.000, 1.38E+03,   36,    1.228,  286.559,   58,    0.254, 1.23E+03,   31,    1.089,   91.052,  331,  8.1E-02,    0.000,  999,    0.000, 1.51E+03,   30,    1.343,  970.779,   27,    0.861, 1.38E+03,   36,    1.228
  8,   6,    0.000,  999,    0.000,    0.000,  999,    0.000, 1.82E+03,   17,    0.607, 1.18E+03,   26,    0.393,    0.000,  999,    0.000,    0.000,  999,    0.000,  989.456,   31,    0.330, 2.01E+03,   17,    0.669,  724.309,    5,    0.242,    0.000,  999,    0.000, 1.02E+03,   11,    0.342, 1.77E+03,   21,    0.590,  153.032,  109,  5.1E-02, 3.12E+03,    4,    1.042,    0.000,  999,    0.000,   72.172,   56,  2.4E-02,    0.000,  999,    0.000,    0.000,  999,    0.000,  724.309,    5,    0.242, 3.12E+03,    4,    1.042, 3.00E+03,    3,    1.000, 3.00E+03,   15,    0.999, 2.35E+03,   47,    0.785,  173.093,  248,  5.8E-02,  147.247,  254,  4.9E-02, 1.91E+03,   23,    0.636,  479.574,   53,    0.160, 3.93E+03,   16,    1.311,  639.770,   40,    0.213, 3.10E+03,   21,    1.034, 1.66E+03,   25,    0.554, 2.53E+03,   34,    0.842, 6.27E+03,   13,    2.090, 2.05E+03,   16,    0.685, 4.41E+03,   14,    1.471
  8,   7,   61.026,  202,  2.3E-02,    0.000,  999,    0.000,  629.985,   39,    0.236, 2.04E+03,   12,    0.764,    0.000,  999,    0.000,   65.672,  318,  2.5E-02,  452.368,   55,    0.169, 1.80E+03,   15,    0.675,  774.656,    4,    0.290,    0.000,  999,    0.000,  740.637,   13,    0.277, 1.85E+03,   16,    0.691,  152.069,   92,  5.7E-02, 3.01E+03,    3,    1.126,    0.000,  999,    0.000,  127.508,   28,  4.8E-02,  313.022,   87,    0.117,    0.000,  999,    0.000,  774.656,    4,    0.290, 3.01E+03,    3,    1.126, 2.67E+03,    3,    1.000, 2.26E+03,   16,    0.844,    0.000,  999,    0.000,  465.984,   51,    0.174,    0.000,  999,    0.000, 1.46E+03,   17,    0.544,   98.091,   95,  3.7E-02, 3.36E+03,   13,    1.255,  480.430,   30,    0.180, 1.69E+03,   21,    0.632,  391.875,   66,    0.147,  465.984,   51,    0.174, 2.64E+03,   16,    0.986, 1.46E+03,   17,    0.544, 3.45E+03,   13,    1.291
  8,   8,   60.221,  216,  2.4E-02,    0.000,  999,    0.000,  615.574,   44,    0.248, 1.86E+03,   15,    0.752,    0.000,  999,    0.000,  181.179,  125,  7.3E-02,  669.455,   40,    0.270, 1.84E+03,   16,    0.743,  959.177,    4,    0.387,    0.000,  999,    0.000,  632.674,   15,    0.255, 2.27E+03,   15,    0.916,  256.910,   58,    0.104, 3.30E+03,    4,    1.329,  255.493,   56,    0.103,  195.827,   20,  7.9E-02,  301.978,  103,    0.122,    0.000,  999,    0.000,  959.177,    4,    0.387, 3.55E+03,    3,    1.432, 2.48E+03,    3,    1.000, 2.51E+03,   16,    1.012,  351.248,  337,    0.142,  354.452,  156,    0.143,  120.806,  204,  4.9E-02, 1.43E+03,   23,    0.578,  113.963,  128,  4.6E-02, 2.94E+03,   18,    1.187,  447.030,   46,    0.180, 2.53E+03,   20,    1.022,  487.734,   66,    0.197,  705.700,  113,    0.284, 3.69E+03,   21,    1.486, 1.55E+03,   20,    0.626, 3.06E+03,   17,    1.233
  5,   5,   94.239,  183,  9.0E-02,  188.466,  123,    0.180,    0.000,  999,    0.000, 1.05E+03,    9,    1.000,  165.815,   85,    0.158,  224.170,   64,    0.214,    0.000,  999,    0.000, 1.79E+03,   22,    1.705,  547.683,    7,    0.523,    0.000,  999,    0.000,  621.257,   21,    0.593, 1.36E+03,   31,    1.300,    0.000,  999,    0.000, 1.82E+03,    6,    1.737,    0.000,  999,    0.000,   58.414,   63,  5.6E-02,  163.136,  135,    0.156,    0.000,  999,    0.000,  547.683,    7,    0.523, 1.82E+03,    6,    1.737, 1.05E+03,    9,    1.000, 1.79E+03,   22,    1.705,    0.000,  999,    0.000,  203.880,  100,    0.195,   39.773,  159,  3.8E-02,  578.362,   50,    0.552,   31.953,  120,  3.0E-02,  867.660,   50,    0.828,  173.504,   50,    0.166,  434.176,   50,    0.414,  217.086,   50,    0.207,  203.880,  100,    0.195,  811.560,   44,    0.775,  618.135,   47,    0.590,  899.613,   48,    0.859
